what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1249849982578
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1249849986500
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1249849988171
executed,command,org.python.pydev,1.4.7.2843,org.python.pydev.editor.actions.firstChar,1249849993359
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1249849993687
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1249849994937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849999796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249850001265
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1249850003187
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1249850003328
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.showInformation,1249850012375
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.showInformation,1249850013625
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.showInformation,1249850016156
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1249850018546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249850020812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249850020812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249850020906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249850026421
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1249850028109
executed,command,org.python.pydev,1.4.7.2843,org.python.pydev.editor.actions.firstChar,1249850041265
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1249850041546
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1249850042406
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1249850044593
executed,command,org.python.pydev,1.4.7.2843,org.python.pydev.editor.actions.firstChar,1249850057703
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1249850058484
